id,subject,gender,motivation,interest,study_time,grade,SES,school_type
1_L,Language,Male,4,1,0.0,1.0,,General
1_M,Math,Male,2,1,0.0,1.0,,General
2_L,Language,Female,2,3,15.0,4.0,Q4,General
2_M,Math,Female,4,5,14.0,2.0,Q4,General
3_L,Language,Male,3,4,5.0,2.0,Q4,General
3_M,Math,Male,2,3,15.0,2.0,Q4,General
4_L,Language,Female,5,4,20.0,5.0,Q4,General
4_M,Math,Female,2,3,25.0,7.0,Q4,General
5_L,Language,Male,5,4,4.0,6.0,Q4,International
5_M,Math,Male,4,4,14.0,7.0,Q4,International
6_L,Language,Female,4,4,80.0,1.0,,General
6_M,Math,Female,1,4,50.0,1.0,,General
7_L,Language,Female,2,3,20.0,3.0,Q2,General
7_M,Math,Female,3,3,30.0,2.0,Q2,General
8_L,Language,Female,4,5,3.0,6.0,Q4,General
8_M,Math,Female,4,5,3.0,6.0,Q4,General
9_L,Language,Female,3,5,3.0,6.0,Q4,General
9_M,Math,Female,4,4,10.0,6.0,Q4,General
10_L,Language,Male,4,1,20.0,1.0,Q4,General
10_M,Math,Male,5,5,1.0,1.0,Q4,General
11_L,Language,Female,5,4,6.0,1.0,Q2,General
11_M,Math,Female,4,4,10.0,1.0,Q2,General
12_L,Language,Male,5,3,10.0,1.0,,General
12_M,Math,Male,5,5,14.0,1.0,,General
13_L,Language,Male,2,5,10.0,3.0,Q4,General
13_M,Math,Male,4,5,20.0,2.0,Q4,General
14_L,Language,Male,5,5,10.0,,Q4,Autonomous
14_M,Math,Male,5,5,30.0,1.0,Q4,Autonomous
15_L,Language,Male,2,1,14.0,4.0,Q4,General
15_M,Math,Male,4,5,30.0,1.0,Q4,General
16_L,Language,Female,3,3,4.0,,,General
16_M,Math,Female,3,3,2.0,,,General
17_L,Language,Male,2,4,14.0,7.0,,General
17_M,Math,Male,2,4,14.0,8.0,,General
18_L,Language,Female,3,4,20.0,6.0,Q1,General
18_M,Math,Female,2,3,0.0,,Q1,General
19_L,Language,Female,2,1,1.0,9.0,,General
19_M,Math,Female,3,3,3.0,7.0,,General
20_L,Language,Female,1,1,0.0,6.0,,General
20_M,Math,Female,1,1,0.0,6.0,,General
21_L,Language,Male,5,5,7.0,2.0,Q4,Autonomous
21_M,Math,Male,3,4,33.0,2.0,Q4,Autonomous
22_L,Language,Female,4,3,2.0,7.0,,General
22_M,Math,Female,1,2,5.0,9.0,,General
23_L,Language,Female,3,3,4.0,1.0,Q4,General
23_M,Math,Female,3,4,5.0,1.0,Q4,General
24_L,Language,Female,3,4,21.0,7.0,,General
24_M,Math,Female,1,1,0.0,8.0,,General
25_L,Language,Female,3,3,1.0,3.0,Q2,General
25_M,Math,Female,5,3,4.0,1.0,Q2,General
26_L,Language,Female,4,1,0.0,,Q4,International
26_M,Math,Female,2,3,,,Q4,International
27_L,Language,Female,5,5,,1.0,,International
27_M,Math,Female,3,4,7.0,3.0,,International
28_L,Language,Female,5,5,10.0,,Q4,International
28_M,Math,Female,3,3,15.0,,Q4,International
29_L,Language,Female,4,5,0.0,1.0,,International
29_M,Math,Female,2,2,2.0,1.0,,International
30_L,Language,Female,2,3,4.0,,Q4,International
30_M,Math,Female,1,3,8.0,,Q4,International
31_L,Language,Female,4,4,3.0,,,Autonomous
31_M,Math,Female,3,4,21.0,,,Autonomous
32_L,Language,Female,3,3,1.0,,,General
32_M,Math,Female,2,3,1.0,,,General
33_L,Language,Female,3,2,,,,Autonomous
33_M,Math,Female,3,3,,,,Autonomous
34_L,Language,Male,4,3,3.0,1.0,,Autonomous
34_M,Math,Male,3,4,20.0,1.0,,Autonomous
35_L,Language,Female,2,3,2.0,7.0,,General
35_M,Math,Female,1,1,2.0,9.0,,General
36_L,Language,Female,5,5,,,,Autonomous
36_M,Math,Female,3,5,,,,Autonomous
37_L,Language,Female,5,4,4.0,2.0,,General
37_M,Math,Female,2,5,20.0,2.0,,General
38_L,Language,Male,4,4,10.0,1.0,Q4,General
38_M,Math,Male,4,4,20.0,1.0,Q4,General
39_L,Language,Male,4,4,14.0,6.0,Q3,General
39_M,Math,Male,5,5,20.0,5.0,Q3,General
40_L,Language,Male,4,3,1.0,2.0,Q2,General
40_M,Math,Male,5,4,3.0,1.0,Q2,General
41_L,Language,Female,5,5,4.0,,,General
41_M,Math,Female,4,4,10.0,,,General
42_L,Language,Female,3,3,4.0,,,General
42_M,Math,Female,3,3,4.0,,,General
43_L,Language,Female,4,3,4.0,,,General
43_M,Math,Female,4,3,4.0,,,General
44_L,Language,Male,4,3,10.0,3.0,,General
44_M,Math,Male,5,3,15.0,2.0,,General
45_L,Language,Female,4,2,2.0,3.0,Q4,Autonomous
45_M,Math,Female,4,2,20.0,2.0,Q4,Autonomous
46_L,Language,Female,2,2,20.0,6.0,Q4,General
46_M,Math,Female,4,4,25.0,6.0,Q4,General
